Date,Day,Month,Holiday
10-Jan,Fri,January,Duruthu Full Moon Poya Day
15-Jan,Wed,January,Tamil Thai Pongal Day
4-Feb,Tue,February,National Day
8-Feb,Sat,February,Navam Full Moon Poya Day
21-Feb,Fri,February,Mahasivarathri Day
9-Mar,Mon,March,Madin Full Moon Poya Day
7-Apr,Tue,April,Bak Full Moon Poya Day
10-Apr,Fri,April,Good Friday
12-Apr,Sun,April,Day prior to Sinhala & Tamil New Year Day
13-Apr,Mon,April,Sinhala & Tamil New Year Day
1-May,Fri,May,May Day
7-May,Thu,May,Vesak Full Moon Poya Day
8-May,Fri,May,Day following Vesak Full Moon Poya Day
25-May,Mon,May,Id Ul-Fitr
5-Jun,Fri,Jun,Poson Full Moon Poya Day
4-Jul,Sat,Jul,Esala Full Moon Poya Day
1-Aug,Sat,August,Id Ul-Alha
3-Aug,Mon,August,Nikini Full Moon Poya Day
1-Sep,Tue,September,Binara Full Moon Poya Day
1-Oct,Thu,October,Adhi Vap Full Moon Poya Day
30-Oct,Fri,October,Vap Full Moon Poya Day
30-Oct,Fri,October,Milad un-Nabi
14-Nov,Sat,November,Deepavali
29-Nov,Sun,November,Ill Full Moon Poya Day
25-Dec,Fri,December,Christmas Day
29-Dec,Tue,December,Unduvap Full Moon Poya Day
